id;label (original);label (our choice);tweet;notes;category;unsure;no hate speech
1554;1;;@user feds provide inadequate #mentalhealth care for #firstnations: internal memo  #thirdworldcanada ;irony? Feds? Criticism?;nationalisation;;
21914;1;;@user @user @user @user @user he's a  #zionist. what did anyone expect?;against jews;religion;;
29423;1;;buffalo school districts boots trump ally over racist comments. #birdsofafeather  #resist  : ;;politics;;
7216;1;;you might be a libtard if... #libtard  #sjw #liberal #politics ;;politics;;
3081;1;;you might be a libtard if... #libtard  #sjw #liberal #politics ;;politics;;
26240;1;;@user #allahsoil when the market crashed in march 2000, greenspan cut interest rates even more   â¦â¦ ;"mention of ""allah"" problematic?";religion;;
6354;1;;don't let the #bigot skate on his true record of ! ;;homophobia;;
11194;1;;@user someone should feed you grenades you stupid fuck   shit;;insult;;
31537;1;;the fuck done with #mansplaining and other  bullshit. ;irony or rejecting idea? More context needed;sexism;;
2167;1;;techjunkiejh:âthe daily showâ unpacks  against #blackwomen and #asianmen on #datingapps â¦ ;more context needed (if pos or negative);sexism;;
7326;1;;@user #allahsoil vps got multi-million dollar bonuses while average americans lost their homes.  ;;religion;;
27299;1;;"are â¦ #black &amp; feel like the  are stomping on you? listen  #retweet #tampa #miamiâ¦ ";;racism, TV;;
23082;1;;@user @user tremendous oppounity to move our country back 75 years into ove  #misogyny and tax breaks for corps.;irony;sexism;;
3357;1;;@user check out this post! confession: i'm   #america #controversy #equality #kaepernick #nationalaâ¦;controversy?;nationalism;;
18550;1;;"arc 5 week #class on  &amp; #education, mon 6:30 pm, $70 sliding scale.  #cambma #harvardsq #justice #workshop";;education;;
9878;1;;"@user @user allows @user @user &amp; @user  #bigots #race-baiter #slaveowner work for your station. acceptable? #fired";irony?;homophobia, racism;;
14052;1;;@user thanks to you the next four years are forecasted to be the worst. i hope your  #fascist plans for #2017fail!;;politics;;
22482;1;;"why men propose  &amp;funny #humour #lol";sexism?;sexism;;
29240;1;;"well,these sewer rats don't take a cent from me,....i don't use to watch ""football"",......but now,i hate it! ";insult;sports;;
17750;1;;@user hidden  in #america is as rampant as blatant racism.  @user @user @user @user;critisism?;racism;;
30607;1;;"@user @user we need to â these universities from indoctrinating our children turning them to #idiots &amp; #snowflakes &amp; ";;education;;
15326;1;;i do not advocate a kumbaya world. like #anti-semitism,  should motivate us to a single purpose:  intellectual competitiveness;meaning jews are stupid????;religion;;
11409;1;;stop bullying. stop racism. everyone can stand up to it and say it's wrong and treat everyone with respect. #everydayheroes  #bully; --> negation;racism, insults;;
5959;1;;holiday fun, socially relevant! #podcast celebrates '70 bewitched xmas ep   ;;;;
7044;1;;@user #jcpenny  #ranting so, no one, no one, in line said anything... silence is complicity in racism. speak up peâ¦ ; --> negation;racism;;
15257;1;;the latest the blicqerâ¢ daily!  thanks to @user @user @user  #marketing;"maybe ""blicker""? 
--> sexism/violence,�?";;;
6487;1;;@user did you vote for this  animal #trump's america: no fat chicks @user ;;sexism;;
832;1;;#rushlimbaugh does his incredibly  obama impression.  via @user;;politics;;
25497;1;;racist troll ale in the great state of kentucky!  listen to last thurs crabs  #comedy #politics #election ;;racism, politics;;
